,encrypted_customerID,total_units,total_revenue,total_units_ttm,total_revenue_ttm,adj_units_yearly_ever,adj_revenue_yearlu_ever,adj_units_yearly_before_ttm,adj_revenue_yearly_before_ttm,which_promo,engagement,what_content_age,what_content_type,asp_ever,asp_ttm,arpu_monthly_ever,arpu_monthly_ttm,frequency_days_ever,frequency_days_ttm,hidden_class,tenure_months,target
440,A1WR62I50TEQ9H,1,3.35,0,0.0,0,1.21,0,1.21,non_promo_user,one_time,exclusively_CAT,exclusively_movie_vod,3.35,0.0,0.1,0.0,0,0,inept,33.0,0
441,A9GIQRBFBFSQA,1,2.51,0,0.0,0,1.11,0,1.11,non_promo_user,one_time,exclusively_CAT,exclusively_movie_est,2.51,0.0,0.09,0.0,0,0,inept,27.0,0
442,A1MJ2ZQ860NMJM,27,178.68,21,109.0,11,73.93,2,28.83,engaged_vendisto_promo,engaged,predominantly_NR,predominantly_movie_vod,6.61,5.19,6.16,9.08,33,16,inept,29.0,1
443,A2J1N0Y9NNP8ZU,27,129.48,6,85.17,6,31.07,5,10.63,non_promo_user,moderate,exclusively_CAT,exclusively_tv,4.79,14.19,2.58,7.09,58,36,benevolent,50.0,1
444,AC4DHJF9FDN8Y,4,20.96,4,20.96,7,41.91,0,0.0,non_promo_user,moderate,exclusively_CAT,predominantly_movie_est,5.24,5.24,3.49,3.49,22,22,inept,6.0,1
445,A3BVSF69ZL6WFL,1,2.51,0,0.0,0,0.71,0,0.71,non_promo_user,one_time,exclusively_CAT,exclusively_tv,2.51,0.0,0.05,0.0,0,0,inept,42.0,0
446,A3FJR07XO3WGWG,52,144.39,0,0.0,10,29.87,10,29.87,non_promo_user,engaged,predominantly_CAT,predominantly_movie_vod,2.77,0.0,2.48,0.0,8,0,hidden_committed,58.0,0
447,A1AXWU9RXN77NZ,210,501.38,65,110.6,39,94.0,27,73.27,engaged_pmd,engaged,predominantly_CAT,predominantly_movie_vod,2.38,1.7,7.83,9.21,9,5,hidden_committed,64.0,1
448,A1WWIYDJTN0KJ,1,3.35,1,3.35,6,20.1,0,0.0,non_promo_user,one_time,exclusively_CAT,exclusively_movie_vod,3.35,3.35,1.67,1.67,0,0,inept,2.0,1
449,A2J3I7D1NWF6OM,14,45.21,0,0.0,3,12.61,3,12.61,engaged_pmd,engaged,predominantly_NR,exclusively_movie_vod,3.22,0.0,1.05,0.0,63,0,benevolent,43.0,0
450,A10ZJZAVGP413J,3,7.53,3,7.53,36,90.36,0,0.0,non_promo_user,moderate,exclusively_CAT,predominantly_tv,2.51,2.51,7.53,7.53,12,12,inept,1.0,1
451,A26RCJD560P8M8,20,129.23,2,11.74,3,24.23,3,22.02,non_promo_user,moderate,exclusively_CAT,exclusively_movie_est,6.46,5.87,2.01,0.97,95,156,benevolent,64.0,1
452,A2WVDJP36C5E0J,11,43.57,2,8.38,3,12.15,2,9.81,non_promo_user,moderate,predominantly_NR,exclusively_movie_vod,3.96,4.19,1.01,0.69,125,98,inept,43.0,1
453,AUXVELUM2KN6I,9,35.19,1,4.19,2,7.96,1,7.01,non_promo_user,one_time,exclusively_CAT,exclusively_movie_vod,3.91,4.19,0.66,0.34,187,0,inept,53.0,1
454,A2QJCJLYG3D9QL,17,38.46,8,19.23,10,23.07,5,11.53,engaged_pmd,moderate,predominantly_CAT,predominantly_movie_est,2.26,2.4,1.92,1.6,36,39,benevolent,20.0,1
455,A1Q7R1I2MG0UNG,21,67.83,6,20.1,6,19.38,4,13.63,non_promo_user,moderate,exclusively_CAT,predominantly_movie_vod,3.23,3.35,1.61,1.67,58,50,benevolent,42.0,1
456,AQJ1DZMY0FURJ,2,13.01,0,0.0,0,4.21,0,4.21,non_promo_user,moderate,exclusively_CAT,exclusively_tv,6.5,0.0,0.35,0.0,0,0,inept,37.0,0
457,A2JX8A6W75FJMN,2,12.17,2,12.17,7,48.67,0,0.0,non_promo_user,moderate,exclusively_CAT,predominantly_tv,6.08,6.08,4.05,4.05,48,48,inept,3.0,1
458,A1WLIBMGIH3XOF,3,29.37,1,4.18,1,12.58,0,10.79,exclusively_vendisto_promo,one_time,exclusively_CAT,exclusively_movie_est,9.79,4.18,1.04,0.34,369,0,inept,28.0,1
459,A37U4GHQ0TY0JN,1,5.87,0,0.0,0,2.27,0,2.27,non_promo_user,one_time,exclusively_CAT,exclusively_movie_est,5.87,0.0,0.18,0.0,0,0,inept,31.0,0
460,A17GFS2AA90GMS,191,694.4,49,201.52,109,396.79,81,281.64,engaged_vendisto_promo,engaged,predominantly_NR,predominantly_movie_est,3.63,4.11,33.06,16.79,3,7,hidden_committed,21.0,1
461,A101QW8MFDG0XP,7,49.48,1,12.6,3,22.83,2,17.02,non_promo_user,one_time,exclusively_CAT,exclusively_tv,7.06,12.6,1.9,1.05,117,0,benevolent,26.0,1
462,A16QDHCFPUM8SP,1,2.09,0,0.0,0,0.43,0,0.43,non_promo_user,one_time,exclusively_CAT,exclusively_tv,2.09,0.0,0.03,0.0,0,0,inept,58.0,0
463,A1FIN9WPLRCX6H,2,15.11,0,0.0,0,3.48,0,3.48,non_promo_user,moderate,exclusively_CAT,predominantly_movie_est,7.55,0.0,0.29,0.0,701,0,inept,52.0,0
464,A9IIT5AEMT14H,1,3.34,0,0.0,0,1.43,0,1.43,exclusively_vendisto_promo,one_time,exclusively_CAT,exclusively_tv,3.34,0.0,0.11,0.0,0,0,inept,28.0,0
465,A1ZWPE15I8FU1N,13,28.42,12,24.23,12,26.23,0,3.86,engaged_pmd,moderate,predominantly_CAT,exclusively_movie_vod,2.18,2.01,2.18,2.01,31,11,inept,13.0,1
