,encrypted_customerID,total_units,total_revenue,total_units_ttm,total_revenue_ttm,adj_units_yearly_ever,adj_revenue_yearlu_ever,adj_units_yearly_before_ttm,adj_revenue_yearly_before_ttm,which_promo,engagement,what_content_age,what_content_type,asp_ever,asp_ttm,arpu_monthly_ever,arpu_monthly_ttm,frequency_days_ever,frequency_days_ttm,hidden_class,tenure_months,target
866,A31R7RBLONKR34,1,3.71,0,0.0,0,1.14,0,1.14,non_promo_user,one_time,predominantly_NR,exclusively_movie_vod,3.71,0.0,0.09,0.0,0,0,inept,39.0,0
867,A2JXYSFTLKYK4Z,2,4.14,2,4.14,2,4.96,0,0.0,non_promo_user,moderate,exclusively_CAT,predominantly_movie_est,2.07,2.07,0.41,0.41,3,3,inept,10.0,0
868,A3FPOIN1K53644,1,1.66,0,0.0,0,0.71,0,0.71,exclusively_pmd,one_time,exclusively_CAT,exclusively_movie_vod,1.66,0.0,0.05,0.0,0,0,inept,28.0,0
869,A2N5AEVZUXLU1R,1,6.66,0,0.0,0,4.2,0,4.2,non_promo_user,one_time,exclusively_CAT,exclusively_movie_est,6.66,0.0,0.35,0.0,0,0,inept,19.0,0
870,AFIN3XMWS6XY3,2,4.56,1,3.74,1,3.64,0,0.65,exclusively_vendisto_promo,one_time,exclusively_CAT,exclusively_movie_vod,2.28,3.74,0.3,0.31,142,0,inept,15.0,0
871,A3NSD78OU1Z4IM,35,156.76,9,48.66,12,55.32,9,38.15,non_promo_user,engaged,predominantly_CAT,predominantly_movie_est,4.47,5.4,4.61,4.05,29,34,benevolent,34.0,1
872,A2AKT20L04BVVJ,2,8.73,2,8.73,7,34.92,0,0.0,non_promo_user,moderate,exclusively_CAT,predominantly_movie_est,4.36,4.36,2.91,2.91,5,5,inept,3.0,1
873,A3OZ6IFAF81F4A,29,84.68,11,39.91,12,37.63,7,19.89,engaged_pmd,engaged,exclusively_CAT,predominantly_movie_vod,2.92,3.62,3.13,3.32,28,32,benevolent,27.0,1
874,ACWA76WZTCDFC,1,3.74,0,0.0,0,2.8,0,2.8,non_promo_user,one_time,exclusively_CAT,exclusively_movie_vod,3.74,0.0,0.23,0.0,0,0,inept,16.0,0
875,AQPJ60PN6EFOY,27,84.36,13,41.15,18,56.23,9,28.8,engaged_pmd,engaged,predominantly_NR,exclusively_movie_vod,3.12,3.16,4.68,3.42,18,25,benevolent,18.0,1
